"name","path","sha","size","url","html_url","git_url","download_url","type","X_links.self","X_links.git","X_links.html","size_in_MB","size_label","source","last_updated_utc"
".DS_Store","contracts/.DS_Store","17e87dd9cc0782eb75a445473530630e057b2fa6",20484,"https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/.DS_Store?ref=main","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/.DS_Store","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/17e87dd9cc0782eb75a445473530630e057b2fa6","https://raw.githubusercontent.com/RelevantResearch/param-reporting/main/contracts/.DS_Store","file","https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/.DS_Store?ref=main","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/17e87dd9cc0782eb75a445473530630e057b2fa6","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/.DS_Store",0.0195350646972656,"0.02MB",NA,2026-06-06 10:34:35
"ADAMSMS_2025-04-22.pdf","contracts/ADAMSMS_2025-04-22.pdf","171e650d3ee83cafb1f68fd0fed7523c5a9d061f",2098811,"https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/ADAMSMS_2025-04-22.pdf?ref=main","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/ADAMSMS_2025-04-22.pdf","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/171e650d3ee83cafb1f68fd0fed7523c5a9d061f","https://raw.githubusercontent.com/RelevantResearch/param-reporting/main/contracts/ADAMSMS_2025-04-22.pdf","file","https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/ADAMSMS_2025-04-22.pdf?ref=main","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/171e650d3ee83cafb1f68fd0fed7523c5a9d061f","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/ADAMSMS_2025-04-22.pdf",2.00158214569092,"2.00MB",NA,2026-01-10 17:53:19
"ADAMSMS_2025-12-23.pdf","contracts/ADAMSMS_2025-12-23.pdf","437ace779546c5f4866a3b084ebdd32ee06ddfd3",4682159,"https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/ADAMSMS_2025-12-23.pdf?ref=main","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/ADAMSMS_2025-12-23.pdf","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/437ace779546c5f4866a3b084ebdd32ee06ddfd3","https://raw.githubusercontent.com/RelevantResearch/param-reporting/main/contracts/ADAMSMS_2025-12-23.pdf","file","https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/ADAMSMS_2025-12-23.pdf?ref=main","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/437ace779546c5f4866a3b084ebdd32ee06ddfd3","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/ADAMSMS_2025-12-23.pdf",4.46525478363037,"4.47MB",NA,2026-01-10 17:53:19
"ADLNTCA_2025-11-28.pdf","contracts/ADLNTCA_2025-11-28.pdf","5dd577717738dfdd7d73ac7b8e2f290e0d3f9897",273015,"https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/ADLNTCA_2025-11-28.pdf?ref=main","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/ADLNTCA_2025-11-28.pdf","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/5dd577717738dfdd7d73ac7b8e2f290e0d3f9897","https://raw.githubusercontent.com/RelevantResearch/param-reporting/main/contracts/ADLNTCA_2025-11-28.pdf","file","https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/ADLNTCA_2025-11-28.pdf?ref=main","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/5dd577717738dfdd7d73ac7b8e2f290e0d3f9897","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/ADLNTCA_2025-11-28.pdf",0.260367393493652,"0.26MB",NA,2026-01-10 17:53:19
"ADLNTCA_2026-05-01.pdf","contracts/ADLNTCA_2026-05-01.pdf","784013b4f86527a33b851af45e1dbf3c0ed450f8",3257777,"https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/ADLNTCA_2026-05-01.pdf?ref=main","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/ADLNTCA_2026-05-01.pdf","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/784013b4f86527a33b851af45e1dbf3c0ed450f8","https://raw.githubusercontent.com/RelevantResearch/param-reporting/main/contracts/ADLNTCA_2026-05-01.pdf","file","https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/ADLNTCA_2026-05-01.pdf?ref=main","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/784013b4f86527a33b851af45e1dbf3c0ed450f8","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/ADLNTCA_2026-05-01.pdf",3.106858253479,"3.11MB",NA,2026-05-09 12:57:45
"ADLNTCA_2026-05-13.pdf","contracts/ADLNTCA_2026-05-13.pdf","910904350ef4a6d22cb84c47fa343a4ebc1750a7",5330661,"https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/ADLNTCA_2026-05-13.pdf?ref=main","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/ADLNTCA_2026-05-13.pdf","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/910904350ef4a6d22cb84c47fa343a4ebc1750a7","https://raw.githubusercontent.com/RelevantResearch/param-reporting/main/contracts/ADLNTCA_2026-05-13.pdf","file","https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/ADLNTCA_2026-05-13.pdf?ref=main","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/910904350ef4a6d22cb84c47fa343a4ebc1750a7","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/ADLNTCA_2026-05-13.pdf",5.08371448516846,"5.08MB",NA,2026-05-31 20:06:10
"APPSCLA_2025-12-19.pdf","contracts/APPSCLA_2025-12-19.pdf","7e41aee5db24781c7ee87fcdaaba07cbb3da3885",7772525,"https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/APPSCLA_2025-12-19.pdf?ref=main","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/APPSCLA_2025-12-19.pdf","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/7e41aee5db24781c7ee87fcdaaba07cbb3da3885","https://raw.githubusercontent.com/RelevantResearch/param-reporting/main/contracts/APPSCLA_2025-12-19.pdf","file","https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/APPSCLA_2025-12-19.pdf?ref=main","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/7e41aee5db24781c7ee87fcdaaba07cbb3da3885","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/APPSCLA_2025-12-19.pdf",7.41245746612549,"7.41MB",NA,2026-01-10 17:53:19
"BAKERFL_2025-12-31.pdf","contracts/BAKERFL_2025-12-31.pdf","1893d46e3e7249d2441729cf89f171f20fac7c0d",272262,"https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/BAKERFL_2025-12-31.pdf?ref=main","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/BAKERFL_2025-12-31.pdf","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/1893d46e3e7249d2441729cf89f171f20fac7c0d","https://raw.githubusercontent.com/RelevantResearch/param-reporting/main/contracts/BAKERFL_2025-12-31.pdf","file","https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/BAKERFL_2025-12-31.pdf?ref=main","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/1893d46e3e7249d2441729cf89f171f20fac7c0d","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/BAKERFL_2025-12-31.pdf",0.259649276733398,"0.26MB",NA,2026-01-10 17:53:19
"BLBNATX_2025-05-06.pdf","contracts/BLBNATX_2025-05-06.pdf","d752dd308e3fd7b1c64b508a74e78f612894a399",460070,"https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/BLBNATX_2025-05-06.pdf?ref=main","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/BLBNATX_2025-05-06.pdf","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/d752dd308e3fd7b1c64b508a74e78f612894a399","https://raw.githubusercontent.com/RelevantResearch/param-reporting/main/contracts/BLBNATX_2025-05-06.pdf","file","https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/BLBNATX_2025-05-06.pdf?ref=main","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/d752dd308e3fd7b1c64b508a74e78f612894a399","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/BLBNATX_2025-05-06.pdf",0.438756942749023,"0.44MB",NA,2026-01-10 17:53:19
"BLBNATX_2025-08-12.pdf","contracts/BLBNATX_2025-08-12.pdf","b25e13adfc55b44842a38e3ea02f5ce791953196",1110352,"https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/BLBNATX_2025-08-12.pdf?ref=main","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/BLBNATX_2025-08-12.pdf","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/b25e13adfc55b44842a38e3ea02f5ce791953196","https://raw.githubusercontent.com/RelevantResearch/param-reporting/main/contracts/BLBNATX_2025-08-12.pdf","file","https://api.github.com/repos/RelevantResearch/param-reporting/contents/contracts/BLBNATX_2025-08-12.pdf?ref=main","https://api.github.com/repos/RelevantResearch/param-reporting/git/blobs/b25e13adfc55b44842a38e3ea02f5ce791953196","https://github.com/RelevantResearch/param-reporting/blob/main/contracts/BLBNATX_2025-08-12.pdf",1.05891418457031,"1.06MB",NA,2026-01-10 17:53:19
